"","PostalCode","DateOfSale","Type","Condition","Price","LivingArea","BasementArea","GroundArea","ConstructionYear","Levels","NewKitchen","NumberOfToilets","NewWindows","NewBathroom","NumberOfBedrooms","Balcony","CloseToWater","Garage","Adress","SalesPeriod","YearOfSale","ManyToilets","Basement","LargeGround","Age","HighHouse","Renovation","Quarter"
"1","8000",2004-01-02,"Ejerlejlighed","Medium",1275000,74,0,0,1902,1,NA,1,NA,NA,2,"0","0","0","Mejlgade 85, 4.",72,2004,"0","0","0",102,"0","0","1"
"2","8220",2004-01-05,"Ejerlejlighed","Medium",680000,71,2,0,1968,1,NA,1,NA,NA,2,"1","0","0","Emmasvej 12, 2",154,2004,"0","1","0",36,"0","0","1"
"3","8200",2004-01-06,"Ejerlejlighed","Good",1170000,61,0,0,1934,1,NA,1,NA,NA,2,"0","0","0","Otte Ruds Gade 36, 1.tv.",42,2004,"0","0","0",70,"0","0","1"
"4","8000",2004-01-06,"Ejerlejlighed","Medium",1399000,94,0,0,1897,2,NA,1,NA,NA,NA,"0","0","0","Sølystgade 44, st.th.**",630,2004,"0","0","0",107,"0","0","1"
"5","8000",2004-01-06,"Ejerlejlighed","Medium",1148000,62,0,0,1945,1,NA,1,NA,NA,2,"1","0","0","Tage-Hansens Gade 17, 4. th",23,2004,"0","0","0",59,"0","0","1"
"6","8210",2004-01-07,"Ejerlejlighed","Good",1000000,64,0,0,2001,1,NA,1,NA,NA,2,"0","0","0","Bronzealdervej 136A",91,2004,"0","0","0",3,"0","0","1"
"7","8000",2004-01-08,"Ejerlejlighed","Good",2825000,180,0,0,1912,1,NA,1,NA,NA,2,"1","0","0","Kystvejen 51, 3.",172,2004,"0","0","0",92,"0","0","1"
"8","8000",2004-01-08,"Ejerlejlighed","Medium",1298000,68,0,0,1929,1,NA,1,NA,NA,2,"1","0","0","Stadion Alle 25, 3 th.",9,2004,"0","0","0",75,"0","0","1"
"9","8230",2004-01-12,"Ejerlejlighed","Medium",640000,57,4,0,1970,1,NA,1,NA,NA,1,"1","0","0","Dr. Holsts Vej 50, st. lejl. 107",5,2004,"0","1","0",34,"0","0","1"
"10","8230",2004-01-12,"Ejerlejlighed","Good",850000,62,6,0,1970,NA,NA,1,NA,NA,NA,"1","0","0","Dr. Holsts Vej 48, st. lejl. 88",87,2004,"0","1","0",34,NA,"0","1"
"11","8000",2004-01-12,"Ejerlejlighed","Good",1048000,54,0,0,1902,1,NA,1,NA,NA,1,"0","0","0","Odensegade 43, st.th.",73,2004,"0","0","0",102,"0","0","1"
"12","8000",2004-01-12,"Ejerlejlighed","Medium",898000,55,0,0,1900,1,NA,1,NA,NA,2,"0","0","0","Ankersgade 5, 1.th.",167,2004,"0","0","0",104,"0","0","1"
"13","8000",2004-01-12,"Ejerlejlighed","Good",1128000,55,0,0,1900,1,NA,1,NA,NA,2,"0","0","0","Ny Munkegade 68, 3.th.",26,2004,"0","0","0",104,"0","0","1"
"14","8270",2004-01-15,"Ejerlejlighed","Medium",1180000,98,0,0,1932,1,NA,1,NA,NA,2,"1","0","0","Rosenvangs Alle 258, 1. th.",73,2004,"0","0","0",72,"0","0","1"
"15","8000",2004-01-15,"Ejerlejlighed","Good",1748000,97,0,0,1928,1,NA,1,NA,NA,3,"0","0","0","Janus la Cours Gade 4, 2.tv.**",23,2004,"0","0","0",1,"0","1","1"
"16","8000",2004-01-15,"Ejerlejlighed","Medium",1789000,96,0,0,1928,1,NA,1,NA,NA,NA,"0","0","0","Stadion Alle 4, 2.tv.",29,2004,"0","0","0",76,"0","0","1"
"17","8000",2004-01-16,"Ejerlejlighed","Medium",1248000,75,0,0,1934,1,NA,1,NA,NA,2,"1","0","0","Borggade 7, 2.tv.",159,2004,"0","0","0",70,"0","0","1"
"18","8000",2004-01-16,"Ejerlejlighed","Medium",1050000,60,0,0,1968,1,NA,1,NA,NA,2,"0","0","0","Langenæs Alle 35, 3.mf.",53,2004,"0","0","0",36,"0","0","1"
"19","8260",2004-01-18,"Ejerlejlighed","Medium",875000,106,0,0,1969,1,NA,1,NA,NA,NA,"1","0","0","Grøfthøjparken 155,  2",110,2004,"0","0","0",35,"0","0","1"
"20","8000",2004-01-19,"Ejerlejlighed","Medium",898000,49,0,0,1950,1,NA,1,NA,NA,2,"1","0","0","Vestre Ringgade 208, 5.th.",223,2004,"0","0","0",54,"0","0","1"
"21","8200",2004-01-20,"Ejerlejlighed","Good",1995000,115,0,0,1933,1,NA,1,NA,NA,3,"1","0","0","Otte Ruds Gade 59, 2.",21,2004,"0","0","0",71,"0","0","1"
"22","8000",2004-01-20,"Ejerlejlighed","Good",888830,53,0,0,1915,1,NA,1,NA,NA,2,"0","0","0","Skt. Pauls Gade 64, 3.th",102,2004,"0","0","0",89,"0","0","1"
"23","8000",2004-01-20,"Ejerlejlighed","Medium",1629000,100,0,0,1933,1,NA,1,NA,NA,NA,"0","0","0","Ringkøbingvej 26, 4.th.**",22,2004,"0","0","0",71,"0","0","1"
"24","8260",2004-01-21,"Ejerlejlighed","Medium",880000,106,0,0,1969,1,NA,1,NA,NA,NA,"1","0","0","Grøfthøjparken 156, 3",147,2004,"0","0","0",35,"0","0","1"
"25","8260",2004-01-21,"Ejerlejlighed","Medium",648000,55,0,0,1969,1,NA,1,NA,NA,NA,"1","0","0","Grøndalsvej 48, 3.-1",34,2004,"0","0","0",35,"0","0","1"
"26","8200",2004-01-21,"Ejerlejlighed","Good",1128000,62,0,0,1938,1,NA,1,NA,NA,2,"0","0","0","Langelandsgade 210, 2.tv.",16,2004,"0","0","0",66,"0","0","1"
"27","8200",2004-01-22,"Ejerlejlighed","Medium",1550000,98,0,0,1936,2,NA,1,NA,NA,1,"0","0","0","Niels Juels Gade 58 A, 4.tv.",130,2004,"0","0","0",68,"0","0","1"
"28","8260",2004-01-22,"Ejerlejlighed","Good",438000,42,0,0,1970,1,NA,1,NA,NA,NA,"1","0","0","Grøfthøjparken 161,  6",111,2004,"0","0","0",34,"0","0","1"
"29","8260",2004-01-22,"Ejerlejlighed","Medium",320000,26,0,0,1971,1,NA,1,NA,NA,NA,"0","0","0","Grøndalsvej 54, 3",50,2004,"0","0","0",33,"0","0","1"
